Category,Appliance,Rank,Machine Brand,Count
Domestic,Refrigerator - Wine Fridge,1,Grand Cru - (Premium Domestic) - (Limited Parts),940
Domestic,Refrigerator - Wine Fridge,2,Lemair - (Domestic),60
Domestic,Refrigerator - Wine Fridge,3,Vintec - (Premium Domestic),7
Domestic,Small Appliance - Other,1,Phillips - (Domestic),4
Domestic,Unknown,1,Fisher and Paykel - (Domestic) Total,20752
Domestic,Unknown,2,Bosch - (Domestic) Total,15250
Domestic,Unknown,3,LG - (Domestic) Total,10882
Domestic,Unknown,4,Miele - (Premium Domestic) Total,8906
Domestic,Unknown,5,Samsung - (Domestic) Total,8781
Domestic,Vacuum Cleaner,1,Dyson - (Domestic),75
Domestic,Vacuum Cleaner,2,Bissell - (Domestic),30
Domestic,Washing Machine,1,Econo - (Premium Domestic),36
Domestic,Washing Machine - Front Loader,1,LG - (Domestic),2975
Domestic,Washing Machine - Front Loader,2,Electrolux - (Domestic),1152
Domestic,Washing Machine - Front Loader,3,AEG - (Domestic),663
Domestic,Washing Machine - Front Loader,4,Beko - (Domestic),546
Domestic,Washing Machine - Front Loader,5,Whirlpool - (Domestic),299
Domestic,Washing Machine - Top Loader,1,Simpson - (Domestic),949
Domestic,Washing Machine - Top Loader,2,Maytag @ Home - (Premium Domestic),485
Domestic,Washing Machine - Top Loader,3,Kleenmaid - (Premium Domestic),308
Domestic,Washing Machine - Top Loader,4,Kleenmaid By Speed Queen- (Premium Domestic),38
Domestic,Washing Machine - Top Loader,5,Solt - (Domestic) - (Limited Parts),34
