Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
,,,,,(blank),48,,,,,,,,
,,,,Refrigerator Total,,170,,,,,,,,
,,,,Microwave,Built In,89,,,,,,,,
,,,,,(blank),44,,,,,,,,
,,,,,Combination,22,,,,,,,,
,,,,Microwave Total,,155,,,,,,,,
,,,,Built-In Microwave Oven,(blank),13,,,,,,,,
,,,,Built-In Microwave Oven Total,,13,,,,,,,,
,,,Ilve - (Premium Domestic) Total,,,4204,,,,,,,,
,,,Hisense - (Domestic),Refrigerator,Fridge & Freezer,2018,,,,,,,,
,,,,,(blank),192,,,,,,,,
,,,,,French Door,168,,,,,,,,
,,,,,Freezer Only,133,,,,,,,,
,,,,,Fridge Only,99,,,,,,,,
,,,,,Wine Fridge,73,,,,,,,,
,,,,,Other,24,,,,,,,,
,,,,,Bar Fridge,11,,,,,,,,
,,,,,Side By Side,9,,,,,,,,
,,,,Refrigerator Total,,2727,,,,,,,,
,,,,Washing Machine,Front Loader,583,,,,,,,,
,,,,,(blank),6,,,,,,,,
,,,,Washing Machine Total,,589,,,,,,,,
,,,,Dryer,Heat Pump,109,,,,,,,,
,,,,,Condenser,13,,,,,,,,
,,,,Dryer Total,,122,,,,,,,,
,,,,Dishwasher,Free Standing,34,,,,,,,,
,,,,,(blank),27,,,,,,,,
,,,,,Under Bench,18,,,,,,,,
,,,,Dishwasher Total,,79,,,,,,,,
,,,,Bar Freezer,(blank),3,,,,,,,,
,,,,Bar Freezer Total,,3,,,,,,,,
,,,Hisense - (Domestic) Total,,,3520,,,,,,,,
,,,Blanco - (Domestic),Oven - (Freestanding),Electric,349,,,,,,,,
,,,,,Free Standing,122,,,,,,,,
,,,,,Dual Fuel,98,,,,,,,,
,,,,,(blank),96,,,,,,,,
,,,,,Built In,45,,,,,,,,
,,,,,Stove,24,,,,,,,,
,,,,,Natural Gas,18,,,,,,,,
,,,,,Gas,13,,,,,,,,
,,,,,Double,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,770,,,,,,,,
,,,,Dishwasher,Under Bench,278,,,,,,,,
,,,,,Free Standing,193,,,,,,,,
,,,,,(blank),129,,,,,,,,
,,,,,Fully Integrated,78,,,,,,,,
,,,,,Semi Integrated,72,,,,,,,,
,,,,Dishwasher Total,,750,,,,,,,,
,,,,Oven - (Built In),Electric,363,,,,,,,,
,,,,,(blank),69,,,,,,,,
,,,,,Double,38,,,,,,,,
,,,,,Gas,13,,,,,,,,
,,,,Oven - (Built In) Total,,483,,,,,,,,
,,,,Cooktop,Gas,197,,,,,,,,
,,,,,Natural Gas,112,,,,,,,,
,,,,,Induction,53,,,,,,,,
,,,,,Electric,20,,,,,,,,
,,,,,Other,16,,,,,,,,
,,,,,LPG Gas,15,,,,,,,,
,,,,,(blank),14,,,,,,,,
,,,,Cooktop Total,,427,,,,,,,,
,,,,Rangehood,Canopy,51,,,,,,,,
,,,,,(blank),23,,,,,,,,
,,,,,Fixed,12,,,,,,,,
,,,,,Slide out,3,,,,,,,,
,,,,Rangehood Total,,89,,,,,,,,
,,,,Coffee Machine,Built In,31,,,,,,,,
,,,,Coffee Machine Total,,31,,,,,,,,
,,,,Other,(blank),8,,,,,,,,
,,,,Other Total,,8,,,,,,,,
,,,Blanco - (Domestic) Total,,,2558,,,,,,,,
,,,Haier - (Domestic),Refrigerator,Fridge & Freezer,973,,,,,,,,
,,,,,(blank),231,,,,,,,,
,,,,,Freezer Only,90,,,,,,,,
,,,,,Bar Fridge,34,,,,,,,,
,,,,,French Door,31,,,,,,,,
,,,,,Fridge Only,30,,,,,,,,
,,,,,Other,6,,,,,,,,
,,,,Refrigerator Total,,1395,,,,,,,,
,,,,Washing Machine,Front Loader,435,,,,,,,,
,,,,,Top Loader,145,,,,,,,,
,,,,,(blank),17,,,,,,,,
,,,,Washing Machine Total,,597,,,,,,,,
,,,,Dryer,(blank),108,,,,,,,,
,,,,,Heat Pump,73,,,,,,,,
,,,,,Condenser,39,,,,,,,,
,,,,,Electric,3,,,,,,,,
,,,,Dryer Total,,223,,,,,,,,
,,,,Dishwasher,Under Bench,98,,,,,,,,
,,,,,(blank),62,,,,,,,,
,,,,,Free Standing,22,,,,,,,,
,,,,Dishwasher Total,,182,,,,,,,,
,,,,Combo Washer & Dryer,Electric,19,,,,,,,,
,,,,Combo Washer & Dryer Total,,19,,,,,,,,
,,,,Oven - (Freestanding),(blank),3,,,,,,,,
,,,,Oven - (Freestanding) Total,,3,,,,,,,,
,,,Haier - (Domestic) Total,,,2419,,,,,,,,
,,,Technika - (Domestic),Oven - (Freestanding),Dual Fuel,266,,,,,,,,
,,,,,Free Standing,230,,,,,,,,
,,,,,Electric,167,,,,,,,,
,,,,,(blank),131,,,,,,,,
,,,,,Gas,65,,,,,,,,
,,,,,Natural Gas,42,,,,,,,,
,,,,,Built In,27,,,,,,,,
,,,,,Unknown,7,,,,,,,,
,,,,Oven - (Freestanding) Total,,935,,,,,,,,
,,,,Dishwasher,Under Bench,228,,,,,,,,
,,,,,(blank),116,,,,,,,,
,,,,,Free Standing,100,,,,,,,,
,,,,,Fully Integrated,60,,,,,,,,
,,,,,Semi Integrated,8,,,,,,,,
,,,,,Bench Top,5,,,,,,,,
,,,,Dishwasher Total,,517,,,,,,,,
,,,,Cooktop,Gas,189,,,,,,,,
,,,,,Natural Gas,169,,,,,,,,
,,,,,LPG Gas,64,,,,,,,,
,,,,,Electric,18,,,,,,,,
,,,,,(blank),15,,,,,,,,
,,,,,Ceramic,9,,,,,,,,
,,,,,Induction,4,,,,,,,,
,,,,Cooktop Total,,468,,,,,,,,
,,,,Rangehood,Canopy,100,,,,,,,,
,,,,,(blank),56,,,,,,,,
,,,,,Fixed,30,,,,,,,,
,,,,Rangehood Total,,186,,,,,,,,
,,,,Oven - (Built In),Electric,118,,,,,,,,
,,,,,Gas,17,,,,,,,,
,,,,,Double,16,,,,,,,,
,,,,Oven - (Built In) Total,,151,,,,,,,,
,,,,Dryer,Condenser,32,,,,,,,,
,,,,,Vented,16,,,,,,,,
,,,,,(blank),13,,,,,,,,
,,,,Dryer Total,,61,,,,,,,,
,,,,Microwave,Built In,6,,,,,,,,
,,,,,(blank),4,,,,,,,,
,,,,Microwave Total,,10,,,,,,,,
,,,,Washing Machine,Front Loader,6,,,,,,,,
,,,,,Top Loader,3,,,,,,,,
,,,,Washing Machine Total,,9,,,,,,,,
,,,,Cooker,(blank),5,,,,,,,,
,,,,Cooker Total,,5,,,,,,,,
,,,,stacked washer & dryer,(blank),3,,,,,,,,
,,,,stacked washer & dryer Total,,3,,,,,,,,
,,,Technika - (Domestic) Total,,,2345,,,,,,,,
,,,Liebherr - (Premium Domestic),Refrigerator,Fridge & Freezer,1531,,,,,,,,
,,,,,(blank),230,,,,,,,,
,,,,,Wine Fridge,203,,,,,,,,
,,,,,Freezer Only,164,,,,,,,,
,,,,,Fridge Only,105,,,,,,,,
,,,,,Side By Side,36,,,,,,,,
,,,,,Bar Fridge,12,,,,,,,,
,,,,,Other,9,,,,,,,,
,,,,Refrigerator Total,,2290,,,,,,,,
,,,Liebherr - (Premium Domestic) Total,,,2290,,,,,,,,
,,,Hobart - (Commercial),Dishwasher,(blank),1757,,,,,,,,
,,,,,Under Bench,158,,,,,,,,
,,,,,Free Standing,139,,,,,,,,
,,,,,Semi Integrated,6,,,,,,,,
,,,,,Single Dish Drawer,3,,,,,,,,
,,,,Dishwasher Total,,2063,,,,,,,,
,,,,Commercial Appliance,Dishwasher - (Hood Type / Passthrough),68,,,,,,,,
,,,,,Dishwasher - (Underbench),24,,,,,,,,
,,,,Commercial Appliance Total,,92,,,,,,,,
,,,,Oven - (Freestanding),(blank),44,,,,,,,,
,,,,Oven - (Freestanding) Total,,44,,,,,,,,
,,,,Pass Through Dishwasher,(blank),6,,,,,,,,
,,,,Pass Through Dishwasher Total,,6,,,,,,,,
,,,Hobart - (Commercial) Total,,,2205,,,,,,,,
,,,Simpson - (Domestic),Washing Machine,Top Loader,949,,,,,,,,
,,,,,Front Loader,366,,,,,,,,
,,,,,(blank),77,,,,,,,,
,,,,,Twin Tub,12,,,,,,,,
,,,,Washing Machine Total,,1404,,,,,,,,
,,,,Dryer,(blank),180,,,,,,,,
,,,,,Vented,167,,,,,,,,
,,,,,Wall Mounted,50,,,,,,,,
,,,,,Heat Pump,41,,,,,,,,
,,,,,Stacked,22,,,,,,,,
,,,,,Unknown,6,,,,,,,,
,,,,Dryer Total,,466,,,,,,,,
,,,,Oven - (Freestanding),Electric,49,,,,,,,,
,,,,,Oven with Seperate Grill,7,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,,Built In,3,,,,,,,,
,,,,,Free Standing,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,65,,,,,,,,
,,,,Cooktop,Gas,29,,,,,,,,
,,,,,Natural Gas,14,,,,,,,,
,,,,,Other,10,,,,,,,,
,,,,,LPG Gas,5,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,Cooktop Total,,61,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,16,,,,,,,,
,,,,,(blank),15,,,,,,,,
,,,,Refrigerator Total,,31,,,,,,,,
,,,,Dishwasher,Under Bench,7,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,,Free Standing,3,,,,,,,,
,,,,Dishwasher Total,,13,,,,,,,,
,,,,Oven - (Built In),Electric,9,,,,,,,,
,,,,Oven - (Built In) Total,,9,,,,,,,,
,,,,Combo Washer & Dryer,(blank),3,,,,,,,,
,,,,Combo Washer & Dryer Total,,3,,,,,,,,
,,,Simpson - (Domestic) Total,,,2052,,,,,,,,
,,,DeLonghi - (Domestic),Oven - (Freestanding),Electric,237,,,,,,,,
,,,,,Dual Fuel,144,,,,,,,,
,,,,,Free Standing,73,,,,,,,,
,,,,,(blank),41,,,,,,,,
,,,,,Built In,33,,,,,,,,
,,,,,Double,27,,,,,,,,
,,,,Oven - (Freestanding) Total,,555,,,,,,,,
,,,,Dishwasher,Under Bench,221,,,,,,,,
,,,,,Free Standing,165,,,,,,,,
,,,,,(blank),111,,,,,,,,
,,,,,Fully Integrated,58,,,,,,,,
,,,,Dishwasher Total,,555,,,,,,,,
,,,,Oven - (Built In),Electric,198,,,,,,,,
,,,,,(blank),45,,,,,,,,
,,,,,Double,42,,,,,,,,
,,,,Oven - (Built In) Total,,285,,,,,,,,
,,,,Coffee Machine,Domestic,89,,,,,,,,
,,,,,(blank),88,,,,,,,,
,,,,Coffee Machine Total,,177,,,,,,,,
,,,,Refrigerator,Wine Fridge,106,,,,,,,,
,,,,,Bar Fridge,26,,,,,,,,
,,,,Refrigerator Total,,132,,,,,,,,
,,,,Cooktop,Natural Gas,52,,,,,,,,
,,,,,Gas,34,,,,,,,,
,,,,,Electric,14,,,,,,,,
,,,,,LPG Gas,12,,,,,,,,
,,,,,Induction,9,,,,,,,,
,,,,Cooktop Total,,121,,,,,,,,
,,,,Rangehood,Canopy,49,,,,,,,,
,,,,,Fixed,16,,,,,,,,
,,,,,(blank),12,,,,,,,,
,,,,Rangehood Total,,77,,,,,,,,
,,,,90cm Dual Fuel freestanding cooker,(blank),13,,,,,,,,
,,,,90cm Dual Fuel freestanding cooker Total,,13,,,,,,,,
,,,,Microwave,(blank),5,,,,,,,,
,,,,Microwave Total,,5,,,,,,,,
,,,DeLonghi - (Domestic) Total,,,1920,,,,,,,,
,,,Omega - (Domestic),Oven - (Freestanding),Electric,206,,,,,,,,
,,,,,(blank),142,,,,,,,,
,,,,,Free Standing,140,,,,,,,,
,,,,,Dual Fuel,115,,,,,,,,
,,,,,Built In,40,,,,,,,,
,,,,,LPG Gas,11,,,,,,,,
,,,,,Natural Gas,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,659,,,,,,,,
,,,,Dishwasher,Free Standing,230,,,,,,,,
,,,,,Under Bench,218,,,,,,,,
,,,,,(blank),59,,,,,,,,
,,,,,Double Dish Drawer,42,,,,,,,,
,,,,,Semi Integrated,26,,,,,,,,
,,,,,Fully Integrated,10,,,,,,,,
,,,,,Single Dish Drawer,6,,,,,,,,
,,,,Dishwasher Total,,591,,,,,,,,
,,,,Cooktop,Induction,97,,,,,,,,
,,,,,Natural Gas,78,,,,,,,,
,,,,,Gas,41,,,,,,,,
,,,,,Electric,32,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,Cooktop Total,,253,,,,,,,,
,,,,Oven - (Built In),Electric,116,,,,,,,,
,,,,,(blank),48,,,,,,,,
,,,,,Gas,16,,,,,,,,
,,,,Oven - (Built In) Total,,180,,,,,,,,
,,,,Dryer,(blank),74,,,,,,,,
,,,,,Vented,64,,,,,,,,
,,,,,Unknown,6,,,,,,,,
,,,,Dryer Total,,144,,,,,,,,
,,,,Rangehood,Canopy,23,,,,,,,,
,,,,,Under Mount,22,,,,,,,,
,,,,,Fixed,8,,,,,,,,
,,,,,(blank),4,,,,,,,,
,,,,Rangehood Total,,57,,,,,,,,
,,,,Washing Machine,Front Loader,25,,,,,,,,
,,,,Washing Machine Total,,25,,,,,,,,
,,,Omega - (Domestic) Total,,,1909,,,,,,,,
,,,AEG - (Domestic),Washing Machine,Front Loader,663,,,,,,,,
,,,,,(blank),40,,,,,,,,
,,,,,Top Loader,6,,,,,,,,
,,,,Washing Machine Total,,709,,,,,,,,
,,,,Dishwasher,Under Bench,204,,,,,,,,
,,,,,Free Standing,66,,,,,,,,
,,,,,(blank),61,,,,,,,,
,,,,,Fully Integrated,40,,,,,,,,
,,,,,Semi Integrated,33,,,,,,,,
,,,,,Unknown,3,,,,,,,,
,,,,Dishwasher Total,,407,,,,,,,,
,,,,Dryer,Condenser,119,,,,,,,,
,,,,,Heat Pump,101,,,,,,,,
,,,,,(blank),48,,,,,,,,
,,,,,Stacked,14,,,,,,,,
,,,,,Unknown,12,,,,,,,,
,,,,,Electric,10,,,,,,,,
,,,,,Vented,4,,,,,,,,
,,,,Dryer Total,,308,,,,,,,,
,,,,Cooktop,Gas,64,,,,,,,,
,,,,,Natural Gas,63,,,,,,,,
,,,,,Induction,28,,,,,,,,
,,,,,(blank),25,,,,,,,,
,,,,,Electric,20,,,,,,,,
,,,,,Ceramic,3,,,,,,,,
,,,,Cooktop Total,,203,,,,,,,,
,,,,Oven - (Freestanding),Electric,82,,,,,,,,
,,,,,Built In,23,,,,,,,,
,,,,,Dual Fuel,15,,,,,,,,
,,,,,Pyrolytic,12,,,,,,,,
,,,,,Double,6,,,,,,,,
,,,,,Free Standing,6,,,,,,,,
,,,,,Steam Oven,1,,,,,,,,
,,,,Oven - (Freestanding) Total,,145,,,,,,,,
,,,,Oven - (Built In),Electric,31,,,,,,,,
,,,,,(blank),16,,,,,,,,
,,,,Oven - (Built In) Total,,47,,,,,,,,
,,,,Rangehood,Canopy,24,,,,,,,,
,,,,,(blank),7,,,,,,,,
,,,,Rangehood Total,,31,,,,,,,,
,,,,Combo Washer & Dryer,(blank),20,,,,,,,,
,,,,Combo Washer & Dryer Total,,20,,,,,,,,
,,,,Microwave,Built In,10,,,,,,,,
,,,,,(blank),5,,,,,,,,
,,,,,Combination,3,,,,,,,,
,,,,Microwave Total,,18,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,4,,,,,,,,
,,,,Refrigerator Total,,4,,,,,,,,
,,,,Coffee Machine,Domestic,3,,,,,,,,
,,,,Coffee Machine Total,,3,,,,,,,,
,,,AEG - (Domestic) Total,,,1895,,,,,,,,
,,,Euromaid - (Domestic),Oven - (Freestanding),Electric,145,,,,,,,,
,,,,,Free Standing,139,,,,,,,,
,,,,,Dual Fuel,122,,,,,,,,
,,,,,(blank),104,,,,,,,,
,,,,,Natural Gas,21,,,,,,,,
,,,,,Gas,13,,,,,,,,
,,,,,Built In,8,,,,,,,,
,,,,,Stove,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,555,,,,,,,,
,,,,Washing Machine,Front Loader,298,,,,,,,,
,,,,,Top Loader,64,,,,,,,,
,,,,,(blank),16,,,,,,,,
,,,,Washing Machine Total,,378,,,,,,,,
,,,,Dishwasher,Free Standing,171,,,,,,,,
,,,,,(blank),85,,,,,,,,
,,,,,Fully Integrated,56,,,,,,,,
,,,,,Under Bench,48,,,,,,,,
,,,,,Semi Integrated,3,,,,,,,,
,,,,Dishwasher Total,,363,,,,,,,,
,,,,Dryer,Wall Mounted,47,,,,,,,,
,,,,,Condenser,41,,,,,,,,
,,,,,(blank),39,,,,,,,,
,,,,,Vented,35,,,,,,,,
,,,,,Heat Pump,24,,,,,,,,
,,,,,Electric,9,,,,,,,,
,,,,,Unknown,7,,,,,,,,
,,,,Dryer Total,,202,,,,,,,,
,,,,Cooktop,Electric,55,,,,,,,,
,,,,,Natural Gas,30,,,,,,,,
,,,,,Ceramic,26,,,,,,,,
,,,,,Gas,26,,,,,,,,
,,,,,(blank),18,,,,,,,,
,,,,,Induction,12,,,,,,,,
,,,,,LPG Gas,11,,,,,,,,
,,,,,Other,11,,,,,,,,
,,,,Cooktop Total,,189,,,,,,,,
,,,,Oven - (Built In),Electric,56,,,,,,,,
,,,,,(blank),20,,,,,,,,
,,,,,Pyrolytic,9,,,,,,,,
,,,,Oven - (Built In) Total,,85,,,,,,,,
,,,,Rangehood,Canopy,43,,,,,,,,
,,,,,(blank),25,,,,,,,,
,,,,Rangehood Total,,68,,,,,,,,
,,,,Combo Washer & Dryer,(blank),7,,,,,,,,
,,,,,Electric,7,,,,,,,,
,,,,Combo Washer & Dryer Total,,14,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,5,,,,,,,,
,,,,Refrigerator Total,,5,,,,,,,,
,,,Euromaid - (Domestic) Total,,,1859,,,,,,,,
,,,Beko - (Domestic),Washing Machine,Front Loader,546,,,,,,,,
,,,,,(blank),15,,,,,,,,
,,,,,Other,8,,,,,,,,
,,,,,Top Loader,7,,,,,,,,
,,,,Washing Machine Total,,576,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,347,,,,,,,,
,,,,,(blank),30,,,,,,,,
,,,,,French Door,28,,,,,,,,
,,,,,Fridge Only,4,,,,,,,,
,,,,Refrigerator Total,,409,,,,,,,,
,,,,Dishwasher,Under Bench,163,,,,,,,,
,,,,,Free Standing,112,,,,,,,,
,,,,,(blank),51,,,,,,,,
,,,,,Fully Integrated,6,,,,,,,,
,,,,Dishwasher Total,,332,,,,,,,,
,,,,Dryer,Condenser,63,,,,,,,,
,,,,,(blank),55,,,,,,,,
,,,,,Heat Pump,48,,,,,,,,
,,,,,Other,6,,,,,,,,
,,,,,Vented,3,,,,,,,,
,,,,Dryer Total,,175,,,,,,,,
,,,,Cooktop,Electric,36,,,,,,,,
,,,,,Natural Gas,26,,,,,,,,
,,,,,(blank),25,,,,,,,,
,,,,,Gas,19,,,,,,,,
,,,,,Ceramic,17,,,,,,,,
,,,,,Induction,14,,,,,,,,
,,,,Cooktop Total,,137,,,,,,,,
,,,,Oven - (Freestanding),Electric,36,,,,,,,,
,,,,,Free Standing,18,,,,,,,,
,,,,,(blank),17,,,,,,,,
,,,,,Built In,6,,,,,,,,
,,,,Oven - (Freestanding) Total,,77,,,,,,,,
,,,,Oven - (Built In),Electric,36,,,,,,,,
,,,,,(blank),18,,,,,,,,
,,,,Oven - (Built In) Total,,54,,,,,,,,
,,,,Combo Washer & Dryer,(blank),42,,,,,,,,
,,,,,Other,10,,,,,,,,
,,,,Combo Washer & Dryer Total,,52,,,,,,,,
,,,,Rangehood,Slide out,14,,,,,,,,
,,,,Rangehood Total,,14,,,,,,,,
,,,,Microwave,Built In,14,,,,,,,,
,,,,Microwave Total,,14,,,,,,,,
,,,Beko - (Domestic) Total,,,1840,,,,,,,,
,,,Eswood - (Commercial),Dishwasher,(blank),1215,,,,,,,,
,,,,,Under Bench,244,,,,,,,,
,,,,,Free Standing,211,,,,,,,,
,,,,,Other,6,,,,,,,,
,,,,,Double Dish Drawer,3,,,,,,,,
,,,,Dishwasher Total,,1679,,,,,,,,
,,,,Commercial Appliance,Dishwasher - (Underbench),49,,,,,,,,
,,,,,Glass Washer,42,,,,,,,,
,,,,Commercial Appliance Total,,91,,,,,,,,
,,,,Other,(blank),31,,,,,,,,
,,,,Other Total,,31,,,,,,,,
,,,,Pass Through Dishwasher,(blank),20,,,,,,,,
,,,,Pass Through Dishwasher Total,,20,,,,,,,,
,,,Eswood - (Commercial) Total,,,1821,,,,,,,,
,,,Whirlpool - (Domestic),Washing Machine,Front Loader,299,,,,,,,,
,,,,,Top Loader,283,,,,,,,,
,,,,,(blank),14,,,,,,,,
,,,,,Other,8,,,,,,,,
,,,,Washing Machine Total,,604,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,380,,,,,,,,
,,,,,Side By Side,33,,,,,,,,
,,,,,(blank),16,,,,,,,,
,,,,,Bar Fridge,8,,,,,,,,
,,,,,Fridge Only,3,,,,,,,,
,,,,,Freezer Only,1,,,,,,,,
,,,,Refrigerator Total,,441,,,,,,,,
,,,,Dishwasher,Under Bench,168,,,,,,,,
,,,,,Free Standing,77,,,,,,,,
,,,,,(blank),18,,,,,,,,
,,,,,Fully Integrated,11,,,,,,,,
,,,,Dishwasher Total,,274,,,,,,,,
,,,,Oven - (Freestanding),Electric,80,,,,,,,,
,,,,,Free Standing,32,,,,,,,,
,,,,,Dual Fuel,28,,,,,,,,
,,,,,Built In,19,,,,,,,,
,,,,,LPG Gas,12,,,,,,,,
,,,,,Double,7,,,,,,,,
,,,,,Gas,6,,,,,,,,
,,,,,Combination Microwave & Oven,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,187,,,,,,,,
,,,,Dryer,(blank),51,,,,,,,,
,,,,,Heat Pump,31,,,,,,,,
,,,,,Condenser,20,,,,,,,,
,,,,Dryer Total,,102,,,,,,,,
,,,,Cooktop,Natural Gas,44,,,,,,,,
,,,,,Induction,32,,,,,,,,
,,,,,Ceramic,7,,,,,,,,
,,,,,Gas,5,,,,,,,,
,,,,,LPG Gas,3,,,,,,,,
,,,,Cooktop Total,,91,,,,,,,,
,,,,Oven - (Built In),Electric,69,,,,,,,,
,,,,,(blank),9,,,,,,,,
,,,,Oven - (Built In) Total,,78,,,,,,,,
,,,,Rangehood,Slide out,14,,,,,,,,
,,,,Rangehood Total,,14,,,,,,,,
,,,,Combo Washer & Dryer,Electric,10,,,,,,,,
,,,,,(blank),3,,,,,,,,
,,,,Combo Washer & Dryer Total,,13,,,,,,,,
,,,,Microwave,Combination,8,,,,,,,,
,,,,Microwave Total,,8,,,,,,,,
,,,Whirlpool - (Domestic) Total,,,1812,,,,,,,,
,,,Kleenmaid - (Premium Domestic),Washing Machine,Top Loader,308,,,,,,,,
,,,,,Front Loader,80,,,,,,,,
,,,,,(blank),9,,,,,,,,
,,,,Washing Machine Total,,397,,,,,,,,
,,,,Dishwasher,Under Bench,163,,,,,,,,
,,,,,Fully Integrated,65,,,,,,,,
,,,,,Free Standing,40,,,,,,,,
,,,,,(blank),27,,,,,,,,
,,,,,Semi Integrated,21,,,,,,,,
,,,,Dishwasher Total,,316,,,,,,,,
,,,,Oven - (Freestanding),Electric,84,,,,,,,,
,,,,,Free Standing,54,,,,,,,,
,,,,,Double,42,,,,,,,,
,,,,,(blank),31,,,,,,,,
,,,,,Dual Fuel,29,,,,,,,,
,,,,,Natural Gas,19,,,,,,,,
,,,,,Steam Oven,15,,,,,,,,
,,,,,Built In,6,,,,,,,,
,,,,,Combination Microwave & Oven,6,,,,,,,,
,,,,,Pyrolytic,5,,,,,,,,
,,,,Oven - (Freestanding) Total,,291,,,,,,,,
,,,,Oven - (Built In),Electric,146,,,,,,,,
,,,,,(blank),45,,,,,,,,
,,,,,Double,11,,,,,,,,
,,,,Oven - (Built In) Total,,202,,,,,,,,
,,,,Cooktop,Induction,90,,,,,,,,
,,,,,Natural Gas,70,,,,,,,,
,,,,,Gas,26,,,,,,,,
,,,,,Ceramic,9,,,,,,,,
,,,,,Electric,4,,,,,,,,
,,,,Cooktop Total,,199,,,,,,,,
,,,,Dryer,Natural Gas,44,,,,,,,,
,,,,,Gas,41,,,,,,,,
,,,,,(blank),22,,,,,,,,
,,,,,Condenser,5,,,,,,,,
,,,,,Heat Pump,4,,,,,,,,
,,,,,Other,1,,,,,,,,
,,,,Dryer Total,,117,,,,,,,,
,,,,Refrigerator,Fridge & Freezer,80,,,,,,,,
,,,,Refrigerator Total,,80,,,,,,,,
,,,,Rangehood,Canopy,28,,,,,,,,
,,,,,Slide out,16,,,,,,,,
,,,,,(blank),10,,,,,,,,
,,,,,Fixed,7,,,,,,,,
,,,,Rangehood Total,,61,,,,,,,,
,,,,Microwave,Combination,33,,,,,,,,
,,,,,Built In,15,,,,,,,,
,,,,Microwave Total,,48,,,,,,,,
,,,,Commercial Appliance,Dryer,8,,,,,,,,
,,,,Commercial Appliance Total,,8,,,,,,,,
,,,,Coffee Machine,Domestic,4,,,,,,,,
,,,,Coffee Machine Total,,4,,,,,,,,
,,,Kleenmaid - (Premium Domestic) Total,,,1723,,,,,,,,
,,,Other,Refrigerator,(blank),104,,,,,,,,
,,,,,Fridge & Freezer,103,,,,,,,,
,,,,,Fridge Only,54,,,,,,,,
,,,,,Wine Fridge,49,,,,,,,,
,,,,,Freezer Only,39,,,,,,,,
,,,,,Bar Fridge,36,,,,,,,,
,,,,,Unknown,5,,,,,,,,
,,,,Refrigerator Total,,390,,,,,,,,
,,,,Commercial Appliance,Oven,107,,,,,,,,
,,,,,Deep Fryer,28,,,,,,,,
,,,,,Fryers,24,,,,,,,,
,,,,,Dishwasher - (Underbench),20,,,,,,,,
,,,,,Other,16,,,,,,,,
,,,,,Display Fridge,14,,,,,,,,
,,,,,Refridgerator,13,,,,,,,,
,,,,,Cooktop,8,,,,,,,,
,,,,,Dishwasher - (Hood Type / Passthrough),8,,,,,,,,
,,,,Commercial Appliance Total,,238,,,,,,,,
,,,,Oven - (Freestanding),Free Standing,66,,,,,,,,
,,,,,(blank),54,,,,,,,,
,,,,,Electric,51,,,,,,,,
,,,,,Other,14,,,,,,,,
,,,,,Dual Fuel,9,,,,,,,,
,,,,,LPG Gas,6,,,,,,,,
,,,,,Gas,6,,,,,,,,
,,,,,Natural Gas,5,,,,,,,,
,,,,,Combination Microwave & Oven,3,,,,,,,,
,,,,Oven - (Freestanding) Total,,214,,,,,,,,
,,,,Coffee Machine,Commercial,81,,,,,,,,
,,,,,(blank),48,,,,,,,,
,,,,,Other,46,,,,,,,,
,,,,Coffee Machine Total,,175,,,,,,,,
,,,,Cooktop,Gas,58,,,,,,,,
,,,,,Natural Gas,37,,,,,,,,
,,,,,LPG Gas,29,,,,,,,,
,,,,,Induction,18,,,,,,,,
,,,,,(blank),6,,,,,,,,
,,,,Cooktop Total,,148,,,,,,,,
,,,,Dishwasher,Free Standing,48,,,,,,,,
,,,,,Under Bench,43,,,,,,,,
,,,,,(blank),25,,,,,,,,
,,,,,Bench Top,10,,,,,,,,
,,,,,Other,1,,,,,,,,
,,,,Dishwasher Total,,127,,,,,,,,
,,,,Other,(blank),120,,,,,,,,
,,,,Other Total,,120,,,,,,,,
,,,,Cool Room,(blank),82,,,,,,,,
,,,,Cool Room Total,,82,,,,,,,,
,,,,Rangehood,(blank),48,,,,,,,,
,,,,,Canopy,11,,,,,,,,
,,,,,Under Mount,9,,,,,,,,
,,,,,Fixed,3,,,,,,,,
,,,,Rangehood Total,,71,,,,,,,,
,,,,Washing Machine,Top Loader,35,,,,,,,,
,,,,,Front Loader,11,,,,,,,,
,,,,Washing Machine Total,,46,,,,,,,,
,,,,Dryer,(blank),31,,,,,,,,
,,,,,Vented,4,,,,,,,,
,,,,,Heat Pump,3,,,,,,,,
