Machine Brand,Count of Machine Brand,,Machine Brand,Machine Type,Machine Sub-Type,Count of Machine Brand,,Technician: State,Machine Type,Machine Brand,Count of Machine Brand,,State,Count of Technician: State
Dyson - (Domestic),128,,,,Unknown,3,,,,Simpson - (Domestic),31,,,
Fagor - (Premium Domestic),126,,,Dryer Total,,1134,,,,Asko - (Premium Domestic),27,,,
Gorenje - (Domestic) - (Limited Parts),124,,,Cooktop,Natural Gas,186,,,,Multiple Appliances,23,,,
Domain - (Domestic),122,,,,Gas,160,,,,Maytag @ Home - (Premium Domestic),23,,,
Stirling - (Domestic) - (Limited Parts),122,,,,Induction,127,,,,Panasonic - (Domestic),20,,,
Lemair - (Domestic),119,,,,(blank),52,,,,Speed Queen - (Commercial),17,,,
Roband - (Commercial),118,,,,Ceramic,24,,,,Electrolux - (Domestic),15,,,
ARC - (Domestic),117,,,,Electric,18,,,,Hoover - (Domestic),12,,,
Gaggenau - (Premium Domestic),114,,,,LPG Gas,17,,,,Beko - (Domestic),12,,,
Rational - (Commercial),112,,,Cooktop Total,,584,,,,AEG - (Domestic),11,,,
Ipso - (Commercial) - (Limited Parts),110,,,Oven - (Freestanding),Electric,251,,,,Maytag - (Commercial),10,,,
Frymaster - (Commercial),109,,,,Free Standing,76,,,,Haier - (Domestic),9,,,
Waldorf - (Commercial),106,,,,(blank),50,,,,Kleenmaid - (Premium Domestic),8,,,
Sub Zero - (Commercial),104,,,,Dual Fuel,46,,,,Technika - (Domestic),6,,,
Venini - (Domestic),104,,,,Built In,23,,,,Euromaid - (Domestic),6,,,
Veneto - (Domestic) - (Limited Parts),101,,,,Pyrolytic,19,,,,Hisense - (Domestic),6,,,
Tisira - (Domestic),100,,,,Double,18,,,,Omega - (Domestic),6,,,
Seiki - (Domestic),99,,,,Combination Microwave & Oven,13,,,,Primus - (Domestic) - (Limited Parts),6,,,
Lamber - (Commercial) - (Limited Parts),99,,,,Other,5,,,,Siemens - (Domestic),5,,,
Gasmate - (Premium Domestic),95,,,,Natural Gas,3,,,,Kogan - (Domestic) - (Limited Parts),5,,,
Mixologiq - (Commercial) - (Limited Parts),95,,,,LPG Gas,3,,,,Westinghouse - (Domestic),5,,,
Turbofan - (Commercial),94,,,Oven - (Freestanding) Total,,507,,,,Seiki - (Domestic),3,,,
Hafele - (Domestic) - (Limited Parts),91,,,Refrigerator,Fridge & Freezer,432,,,,(blank),,,,
De Dietrich - (Domestic),89,,,,French Door,20,,,,,,,,
